,cash,stock,margin,total,datetime
0,989960.73,9994.0,0.0,999954.73,2010-04-06
0,989960.73,9994.0,0.0,999954.73,2010-04-07
0,989960.73,9994.0,0.0,999954.73,2010-04-08
0,989960.73,9994.0,0.0,999954.73,2010-04-09
0,989960.73,9994.0,0.0,999954.73,2010-04-12
0,989960.73,9994.0,0.0,999954.73,2010-04-13
0,989960.73,9994.0,0.0,999954.73,2010-04-14
0,989960.73,9994.0,0.0,999954.73,2010-04-15
0,989960.73,9994.0,0.0,999954.73,2010-04-16
0,989960.73,9994.0,0.0,999954.73,2010-04-19
0,989960.73,9994.0,0.0,999954.73,2010-04-20
0,989960.73,9994.0,0.0,999954.73,2010-04-21
0,989960.73,9994.0,0.0,999954.73,2010-04-22
0,989960.73,9994.0,0.0,999954.73,2010-04-23
0,989960.73,9994.0,0.0,999954.73,2010-04-26
0,989960.73,9994.0,0.0,999954.73,2010-04-27
0,989960.73,9994.0,0.0,999954.73,2010-04-28
0,989960.73,9994.0,0.0,999954.73,2010-04-29
0,989960.73,9994.0,0.0,999954.73,2010-04-30
0,989960.73,9994.0,0.0,999954.73,2010-05-04
0,989960.73,9994.0,0.0,999954.73,2010-05-05
0,989960.73,9994.0,0.0,999954.73,2010-05-06
0,989960.73,9994.0,0.0,999954.73,2010-05-07
0,989960.73,9994.0,0.0,999954.73,2010-05-10
0,989960.73,9994.0,0.0,999954.73,2010-05-11
0,989960.73,9994.0,0.0,999954.73,2010-05-12
0,989960.73,9994.0,0.0,999954.73,2010-05-13
0,991105.6680000001,8846.0,0.0,999951.6680000001,2010-05-14
0,990380.812,9568.0,0.0,999948.812,2010-05-17
0,990380.812,9568.0,0.0,999948.812,2010-05-18
0,990380.812,9568.0,0.0,999948.812,2010-05-19
0,990380.812,9568.0,0.0,999948.812,2010-05-20
0,990380.812,9568.0,0.0,999948.812,2010-05-21
0,990380.812,9568.0,0.0,999948.812,2010-05-24
0,990380.812,9568.0,0.0,999948.812,2010-05-25
0,990380.812,9568.0,0.0,999948.812,2010-05-26
0,990380.812,9568.0,0.0,999948.812,2010-05-27
0,990380.812,9568.0,0.0,999948.812,2010-05-28
0,991129.92,8816.0,0.0,999945.92,2010-05-31
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-01
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-02
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-03
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-04
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-07
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-08
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-09
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-10
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-11
0,990447.0920000001,9496.0,0.0,999943.0920000001,2010-06-17
0,995219.712,4718.0,0.0,999937.712,2010-06-18
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-21
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-22
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-23
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-24
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-25
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-28
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-29
0,991802.0380000001,8130.0,0.0,999932.0380000001,2010-06-30
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-01
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-02
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-05
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-06
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-07
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-08
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-09
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-12
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-13
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-14
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-15
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-16
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-19
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-20
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-21
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-22
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-23
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-26
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-27
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-28
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-29
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-07-30
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-02
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-03
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-04
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-05
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-06
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-09
0,990777.0140000001,9154.0,0.0,999931.0140000001,2010-08-10
0,992623.3500000001,7306.0,0.0,999929.3500000001,2010-08-11
0,990929.658,8998.0,0.0,999927.658,2010-08-12
0,990929.658,8998.0,0.0,999927.658,2010-08-13
0,990929.658,8998.0,0.0,999927.658,2010-08-16
0,990929.658,8998.0,0.0,999927.658,2010-08-17
0,990929.658,8998.0,0.0,999927.658,2010-08-18
0,990929.658,8998.0,0.0,999927.658,2010-08-19
0,990929.658,8998.0,0.0,999927.658,2010-08-20
0,990929.658,8998.0,0.0,999927.658,2010-08-23
0,990929.658,8998.0,0.0,999927.658,2010-08-24
0,990929.658,8998.0,0.0,999927.658,2010-08-25
0,990929.658,8998.0,0.0,999927.658,2010-08-26
0,990929.658,8998.0,0.0,999927.658,2010-08-27
0,990929.658,8998.0,0.0,999927.658,2010-08-30
0,990929.658,8998.0,0.0,999927.658,2010-08-31
0,990929.658,8998.0,0.0,999927.658,2010-09-01
0,994586.02,5338.0,0.0,999924.02,2010-09-02
0,992052.856,7866.0,0.0,999918.856,2010-09-03
0,992052.856,7866.0,0.0,999918.856,2010-09-06
0,992052.856,7866.0,0.0,999918.856,2010-09-07
0,992052.856,7866.0,0.0,999918.856,2010-09-08
0,992052.856,7866.0,0.0,999918.856,2010-09-09
0,992052.856,7866.0,0.0,999918.856,2010-09-10
0,992052.856,7866.0,0.0,999918.856,2010-09-13
0,992052.856,7866.0,0.0,999918.856,2010-09-14
0,992052.856,7866.0,0.0,999918.856,2010-09-15
0,992052.856,7866.0,0.0,999918.856,2010-09-16
0,992052.856,7866.0,0.0,999918.856,2010-09-17
0,992052.856,7866.0,0.0,999918.856,2010-09-20
0,992052.856,7866.0,0.0,999918.856,2010-09-21
0,992052.856,7866.0,0.0,999918.856,2010-09-27
0,992052.856,7866.0,0.0,999918.856,2010-09-28
0,992052.856,7866.0,0.0,999918.856,2010-09-29
0,992052.856,7866.0,0.0,999918.856,2010-09-30
0,994103.916,5810.0,0.0,999913.916,2010-10-08
0,991986.772,7922.0,0.0,999908.772,2010-10-11
0,991986.772,7922.0,0.0,999908.772,2010-10-12
0,991986.772,7922.0,0.0,999908.772,2010-10-13
0,991986.772,7922.0,0.0,999908.772,2010-10-14
0,991986.772,7922.0,0.0,999908.772,2010-10-15
0,991986.772,7922.0,0.0,999908.772,2010-10-18
0,991986.772,7922.0,0.0,999908.772,2010-10-19
0,991986.772,7922.0,0.0,999908.772,2010-10-20
0,991986.772,7922.0,0.0,999908.772,2010-10-21
0,991986.772,7922.0,0.0,999908.772,2010-10-22
0,991986.772,7922.0,0.0,999908.772,2010-10-25
0,991986.772,7922.0,0.0,999908.772,2010-10-26
0,991986.772,7922.0,0.0,999908.772,2010-10-27
0,991986.772,7922.0,0.0,999908.772,2010-10-28
0,991986.772,7922.0,0.0,999908.772,2010-10-29
0,991986.772,7922.0,0.0,999908.772,2010-11-01
0,991986.772,7922.0,0.0,999908.772,2010-11-02
0,991986.772,7922.0,0.0,999908.772,2010-11-03
0,991986.772,7922.0,0.0,999908.772,2010-11-04
0,991986.772,7922.0,0.0,999908.772,2010-11-05
0,991986.772,7922.0,0.0,999908.772,2010-11-08
0,991986.772,7922.0,0.0,999908.772,2010-11-09
0,991986.772,7922.0,0.0,999908.772,2010-11-10
0,991986.772,7922.0,0.0,999908.772,2010-11-11
0,991986.772,7922.0,0.0,999908.772,2010-11-12
0,991986.772,7922.0,0.0,999908.772,2010-11-15
0,991986.772,7922.0,0.0,999908.772,2010-11-16
0,991986.772,7922.0,0.0,999908.772,2010-11-17
0,991986.772,7922.0,0.0,999908.772,2010-11-18
0,991986.772,7922.0,0.0,999908.772,2010-11-19
0,991986.772,7922.0,0.0,999908.772,2010-11-22
0,991986.772,7922.0,0.0,999908.772,2010-11-23
0,991986.772,7922.0,0.0,999908.772,2010-11-24
0,991986.772,7922.0,0.0,999908.772,2010-11-25
0,991986.772,7922.0,0.0,999908.772,2010-11-26
0,991986.772,7922.0,0.0,999908.772,2010-11-29
0,991986.772,7922.0,0.0,999908.772,2010-11-30
0,991986.772,7922.0,0.0,999908.772,2010-12-01
0,991986.772,7922.0,0.0,999908.772,2010-12-02
0,991986.772,7922.0,0.0,999908.772,2010-12-03
0,991986.772,7922.0,0.0,999908.772,2010-12-06
0,991986.772,7922.0,0.0,999908.772,2010-12-07
0,991986.772,7922.0,0.0,999908.772,2010-12-08
0,991986.772,7922.0,0.0,999908.772,2010-12-09
0,991986.772,7922.0,0.0,999908.772,2010-12-10
0,991986.772,7922.0,0.0,999908.772,2010-12-13
0,991986.772,7922.0,0.0,999908.772,2010-12-14
0,991986.772,7922.0,0.0,999908.772,2010-12-15
0,991986.772,7922.0,0.0,999908.772,2010-12-16
0,991322.484,8584.0,0.0,999906.484,2010-12-17
0,992068.2700000001,7836.0,0.0,999904.2700000001,2010-12-20
0,992068.2700000001,7836.0,0.0,999904.2700000001,2010-12-21
0,992068.2700000001,7836.0,0.0,999904.2700000001,2010-12-22
0,992068.2700000001,7836.0,0.0,999904.2700000001,2010-12-23
0,994143.4540000001,5756.0,0.0,999899.4540000001,2010-12-24
0,992452.7840000001,7442.0,0.0,999894.7840000001,2010-12-27
0,992452.7840000001,7442.0,0.0,999894.7840000001,2010-12-28
0,992452.7840000001,7442.0,0.0,999894.7840000001,2010-12-29
0,992452.7840000001,7442.0,0.0,999894.7840000001,2010-12-30
0,992452.7840000001,7442.0,0.0,999894.7840000001,2010-12-31
